nama_dataset,nama_video_mentah,jenis_latihan,camera_view,total_lm_frames,total_zero_filled_lm,persentase_zero_fill_pct,frame_validator_terdampak,persentase_frame_val_terdampak_pct,zero_shoulder,zero_elbow,zero_wrist,zero_hip,zero_knee,zero_ankle
BenchPress_089,primer_benchpress_frontal_subjek03_rep12.mp4,benchpress,frontal,2112,413,19.55,0,0.0,0,0,0,0,29,128
BenchPress_090,primer_benchpress_frontal_subjek03_rep13.mp4,benchpress,frontal,2112,441,20.88,0,0.0,0,0,0,0,57,128
BenchPress_091,primer_benchpress_frontal_subjek03_rep14.mp4,benchpress,frontal,2112,427,20.22,0,0.0,0,0,0,0,43,128
BenchPress_092,primer_benchpress_frontal_subjek03_rep15.mp4,benchpress,frontal,2112,454,21.5,0,0.0,0,0,0,0,70,128
BenchPress_093,primer_benchpress_frontal_subjek03_rep2.mp4,benchpress,frontal,2112,415,19.65,0,0.0,0,0,0,0,31,128
BenchPress_094,primer_benchpress_frontal_subjek03_rep3.mp4,benchpress,frontal,2112,395,18.7,0,0.0,0,0,0,0,11,128
BenchPress_095,primer_benchpress_frontal_subjek03_rep4.mp4,benchpress,frontal,2112,391,18.51,0,0.0,0,0,0,0,7,128
BenchPress_096,primer_benchpress_frontal_subjek03_rep5.mp4,benchpress,frontal,2112,401,18.99,0,0.0,0,0,0,0,17,128
BenchPress_097,primer_benchpress_frontal_subjek03_rep6.mp4,benchpress,frontal,2112,445,21.07,0,0.0,0,0,0,0,61,128
BenchPress_098,primer_benchpress_frontal_subjek03_rep7.mp4,benchpress,frontal,2112,430,20.36,0,0.0,0,0,0,0,46,128
BenchPress_099,primer_benchpress_frontal_subjek03_rep8.mp4,benchpress,frontal,2112,395,18.7,0,0.0,0,0,0,0,11,128
BenchPress_100,primer_benchpress_frontal_subjek03_rep9.mp4,benchpress,frontal,2112,450,21.31,0,0.0,0,0,0,0,66,128
BenchPress_101,sekunder_sekunder_benchpress_kaggle01_rep01.mp4,benchpress,sekunder_kaggle,2112,0,0.0,0,0.0,0,0,0,0,0,0
BenchPress_102,sekunder_sekunder_benchpress_kaggle02_rep02.mp4,benchpress,sekunder_kaggle,2112,6,0.28,3,4.69,0,3,0,0,0,0
BenchPress_103,sekunder_sekunder_benchpress_kaggle03_rep03.mp4,benchpress,sekunder_kaggle,2112,282,13.35,42,65.62,0,42,0,0,0,99
BenchPress_104,sekunder_sekunder_benchpress_kaggle04_rep04.mp4,benchpress,sekunder_kaggle,2112,325,15.39,3,4.69,0,3,3,0,72,92
BenchPress_105,sekunder_sekunder_benchpress_kaggle05_rep05.mp4,benchpress,sekunder_kaggle,2112,46,2.18,17,26.56,0,17,17,0,0,0
BenchPress_108,sekunder_sekunder_benchpress_kaggle08_rep08.mp4,benchpress,sekunder_kaggle,2112,128,6.06,0,0.0,0,0,0,0,0,94
BenchPress_109,sekunder_sekunder_benchpress_kaggle09_rep09.mp4,benchpress,sekunder_kaggle,2112,576,27.27,64,100.0,0,64,64,0,0,128
BenchPress_110,sekunder_sekunder_benchpress_kaggle100_rep100.mp4,benchpress,sekunder_kaggle,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_111,sekunder_sekunder_benchpress_kaggle10_rep10.mp4,benchpress,sekunder_kaggle,2112,318,15.06,48,75.0,0,48,0,0,0,93
BenchPress_112,sekunder_sekunder_benchpress_kaggle11_rep11.mp4,benchpress,sekunder_kaggle,2112,302,14.3,64,100.0,0,64,0,0,0,128
BenchPress_113,sekunder_sekunder_benchpress_kaggle12_rep12.mp4,benchpress,sekunder_kaggle,2112,258,12.22,40,62.5,0,40,40,0,45,6
BenchPress_114,sekunder_sekunder_benchpress_kaggle13_rep13.mp4,benchpress,sekunder_kaggle,2112,494,23.39,64,100.0,0,64,54,0,64,66
BenchPress_115,sekunder_sekunder_benchpress_kaggle14_rep14.mp4,benchpress,sekunder_kaggle,2112,438,20.74,7,10.94,0,7,0,0,47,128
BenchPress_116,sekunder_sekunder_benchpress_kaggle15_rep15.mp4,benchpress,sekunder_kaggle,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_117,sekunder_sekunder_benchpress_kaggle16_rep16.mp4,benchpress,sekunder_kaggle,2112,323,15.29,35,54.69,0,35,8,0,64,66
BenchPress_118,sekunder_sekunder_benchpress_kaggle17_rep17.mp4,benchpress,sekunder_kaggle,2112,359,17.0,41,64.06,0,41,4,0,74,75
BenchPress_120,sekunder_sekunder_benchpress_kaggle19_rep19.mp4,benchpress,sekunder_kaggle,2112,416,19.7,11,17.19,0,11,0,0,103,100
BenchPress_121,sekunder_sekunder_benchpress_kaggle20_rep20.mp4,benchpress,sekunder_kaggle,2112,467,22.11,54,84.38,0,54,2,0,100,102
BenchPress_122,sekunder_sekunder_benchpress_kaggle21_rep21.mp4,benchpress,sekunder_kaggle,2112,308,14.58,24,37.5,0,27,0,0,85,74
BenchPress_123,sekunder_sekunder_benchpress_kaggle22_rep22.mp4,benchpress,sekunder_kaggle,2112,477,22.59,1,1.56,0,1,0,0,92,128
BenchPress_124,sekunder_sekunder_benchpress_kaggle23_rep23.mp4,benchpress,sekunder_kaggle,2112,576,27.27,64,100.0,0,64,0,0,128,128
BenchPress_125,sekunder_sekunder_benchpress_kaggle24_rep24.mp4,benchpress,sekunder_kaggle,2112,343,16.24,0,0.0,0,0,0,0,71,100
BenchPress_127,sekunder_sekunder_benchpress_kaggle26_rep26.mp4,benchpress,sekunder_kaggle,2112,576,27.27,64,100.0,0,64,0,0,128,128
BenchPress_128,sekunder_sekunder_benchpress_kaggle27_rep27.mp4,benchpress,sekunder_kaggle,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_129,sekunder_sekunder_benchpress_kaggle28_rep28.mp4,benchpress,sekunder_kaggle,2112,60,2.84,9,14.06,0,9,8,0,1,1
BenchPress_130,sekunder_sekunder_benchpress_kaggle29_rep29.mp4,benchpress,sekunder_kaggle,2112,397,18.8,3,4.69,0,3,0,0,10,128
BenchPress_131,sekunder_sekunder_benchpress_kaggle30_rep30.mp4,benchpress,sekunder_kaggle,2112,284,13.45,53,82.81,0,53,0,0,0,70
BenchPress_132,sekunder_sekunder_benchpress_kaggle31_rep31.mp4,benchpress,sekunder_kaggle,2112,354,16.76,64,100.0,0,64,64,0,34,0
BenchPress_133,sekunder_sekunder_benchpress_kaggle32_rep32.mp4,benchpress,sekunder_kaggle,2112,221,10.46,38,59.38,0,38,1,0,3,50
BenchPress_134,sekunder_sekunder_benchpress_kaggle33_rep33.mp4,benchpress,sekunder_kaggle,2112,379,17.95,64,100.0,0,64,1,0,0,107
BenchPress_135,sekunder_sekunder_benchpress_kaggle34_rep34.mp4,benchpress,sekunder_kaggle,2112,0,0.0,0,0.0,0,0,0,0,0,0
BenchPress_137,sekunder_sekunder_benchpress_kaggle36_rep36.mp4,benchpress,sekunder_kaggle,2112,45,2.13,11,17.19,0,11,11,0,0,0
BenchPress_138,sekunder_sekunder_benchpress_kaggle37_rep37.mp4,benchpress,sekunder_kaggle,2112,58,2.75,29,45.31,0,29,29,0,0,0
BenchPress_139,sekunder_sekunder_benchpress_kaggle38_rep38.mp4,benchpress,sekunder_kaggle,2112,287,13.59,58,90.62,0,58,0,0,0,87
BenchPress_140,sekunder_sekunder_benchpress_kaggle39_rep39.mp4,benchpress,sekunder_kaggle,2112,512,24.24,5,7.81,0,5,0,0,123,128
BenchPress_141,sekunder_sekunder_benchpress_kaggle40_rep40.mp4,benchpress,sekunder_kaggle,2112,352,16.67,0,0.0,0,0,0,0,92,90
BenchPress_143,sekunder_sekunder_benchpress_kaggle42_rep42.mp4,benchpress,sekunder_kaggle,2112,576,27.27,64,100.0,0,64,0,0,128,128
BenchPress_144,sekunder_sekunder_benchpress_kaggle43_rep43.mp4,benchpress,sekunder_kaggle,2112,66,3.12,0,0.0,0,0,0,0,0,66
BenchPress_145,sekunder_sekunder_benchpress_kaggle44_rep44.mp4,benchpress,sekunder_kaggle,2112,397,18.8,3,4.69,0,3,0,0,10,128
BenchPress_146,sekunder_sekunder_benchpress_kaggle45_rep45.mp4,benchpress,sekunder_kaggle,2112,45,2.13,11,17.19,0,11,11,0,0,0
BenchPress_147,sekunder_sekunder_benchpress_kaggle46_rep46.mp4,benchpress,sekunder_kaggle,2112,46,2.18,17,26.56,0,17,17,0,0,0
BenchPress_149,sekunder_sekunder_benchpress_kaggle48_rep48.mp4,benchpress,sekunder_kaggle,2112,352,16.67,0,0.0,0,0,0,0,92,90
BenchPress_150,sekunder_sekunder_benchpress_kaggle49_rep49.mp4,benchpress,sekunder_kaggle,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_151,sekunder_sekunder_benchpress_kaggle50_rep50.mp4,benchpress,sekunder_kaggle,2112,512,24.24,0,0.0,0,0,0,0,128,128
BenchPress_152,sekunder_sekunder_benchpress_kaggle51_rep51.mp4,benchpress,sekunder_kaggle,2112,512,24.24,0,0.0,0,0,0,0,128,128
