movement,video_name,scenario,prediction,prediction_label,confidence,attention_source,target_focus_ratio,topk_hit_count,topk_hit_ratio,topk_joints,occlusion_target_drop_ratio,gradient_target_ratio,original_frame_count,sampled_frame_count
Squat,primer_squat_frontal_subjek01_rep18.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.997424840927124,fused,0.1990234516131818,2,0.5,"28,27,25,29,26",-0.008823953160110315,0.13694849133502215,158,64
Squat,primer_squat_frontal_subjek01_rep18.mp4,Full Model (Final),0,Form Benar,0.9070375561714172,fused,0.14993829344272952,2,0.5,"26,29,25,28,27",0.005929758956024822,0.15263863484023604,158,64
Squat,primer_squat_frontal_subjek01_rep19.mp4,Baseline 3D-CNN,1,Form Salah,0.903223991394043,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.19801512400339075,0.163319188510931,139,64
Squat,primer_squat_frontal_subjek01_rep19.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.995780348777771,learned,0.15297493026973832,1,0.25,"5,4,6,7,23",0.16771516477687629,0.1323447544841846,139,64
Squat,primer_squat_frontal_subjek01_rep19.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.5475895404815674,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.17752753010707217,0.1324491114829333,139,64
Squat,primer_squat_frontal_subjek01_rep19.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9984344840049744,fused,0.1980178469175053,2,0.5,"28,27,25,29,26",-0.019604525151228173,0.1388616944952222,139,64
Squat,primer_squat_frontal_subjek01_rep19.mp4,Full Model (Final),0,Form Benar,0.5965724587440491,fused,0.15161655784519104,2,0.5,"26,29,25,28,27",0.0023011143404497035,0.13936642319492298,139,64
Squat,primer_squat_frontal_subjek01_rep2.mp4,Baseline 3D-CNN,1,Form Salah,0.9226754307746887,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.19912031216201334,0.15755562529400774,89,64
Squat,primer_squat_frontal_subjek01_rep2.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9957876801490784,learned,0.15612757537312866,1,0.25,"5,4,6,23,7",0.21481724452403558,0.14177527383658015,89,64
Squat,primer_squat_frontal_subjek01_rep2.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.5432933568954468,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.1457972867903584,0.14220009657111293,89,64
Squat,primer_squat_frontal_subjek01_rep2.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9990730285644531,fused,0.19893608063385454,2,0.5,"27,28,25,26,29",-0.07656637917105422,0.14264488914600043,89,64
Squat,primer_squat_frontal_subjek01_rep2.mp4,Full Model (Final),0,Form Benar,0.6955196261405945,fused,0.1566257757753735,2,0.5,"26,29,25,28,27",-0.004902781802001004,0.14451976822876528,89,64
Squat,primer_squat_frontal_subjek01_rep20.mp4,Baseline 3D-CNN,1,Form Salah,0.8832910656929016,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.2025125106503358,0.16638794849013278,145,64
Squat,primer_squat_frontal_subjek01_rep20.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.99626225233078,learned,0.15335047260352358,0,0.0,"5,4,6,7,27",0.17849712198010892,0.14206598528242673,145,64
Squat,primer_squat_frontal_subjek01_rep20.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.5368515253067017,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.1771516858878787,0.13489125213515957,145,64
Squat,primer_squat_frontal_subjek01_rep20.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9983335137367249,fused,0.1977224728052182,2,0.5,"28,27,29,25,26",-0.019284779881769226,0.14356328129272825,145,64
Squat,primer_squat_frontal_subjek01_rep20.mp4,Full Model (Final),0,Form Benar,0.7374246716499329,fused,0.15218792054928565,2,0.5,"29,26,25,28,27",0.0008024492524955057,0.1411637539457072,145,64
Squat,primer_squat_frontal_subjek01_rep21.mp4,Baseline 3D-CNN,1,Form Salah,0.9121317267417908,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.18606583798033868,0.14805857934970476,174,64
Squat,primer_squat_frontal_subjek01_rep21.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9963259100914001,learned,0.13559979745731268,0,0.0,"5,4,6,7,8",0.16561782173679182,0.13221572486578526,174,64
Squat,primer_squat_frontal_subjek01_rep21.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.6043609380722046,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.17330964856827322,0.13180867441725005,174,64
Squat,primer_squat_frontal_subjek01_rep21.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9984198808670044,fused,0.2013794458454086,3,0.75,"27,28,25,26,24",-0.016302270890255065,0.12290857577749657,174,64
Squat,primer_squat_frontal_subjek01_rep21.mp4,Full Model (Final),1,Form Salah,0.6254168748855591,fused,0.15202785453369888,2,0.5,"26,29,25,28,27",-0.0031682500151919034,0.14542459416235168,174,64
Squat,primer_squat_frontal_subjek01_rep22.mp4,Baseline 3D-CNN,1,Form Salah,0.9383523464202881,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.19944706583681504,0.15422576237282443,108,64
Squat,primer_squat_frontal_subjek01_rep22.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9941874742507935,learned,0.15005059905446097,1,0.25,"5,6,4,7,23",0.1739940796420897,0.14015125943913392,108,64
Squat,primer_squat_frontal_subjek01_rep22.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.7069687247276306,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.18418706713604635,0.13018973755410854,108,64
Squat,primer_squat_frontal_subjek01_rep22.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9992347955703735,fused,0.19776201712461497,2,0.5,"27,28,25,26,29",-0.045811190851488055,0.13568181677549598,108,64
Squat,primer_squat_frontal_subjek01_rep22.mp4,Full Model (Final),1,Form Salah,0.7109406590461731,fused,0.15723226309076005,2,0.5,"29,26,25,28,27",-0.012560430183950701,0.1400823305154872,108,64
Squat,primer_squat_frontal_subjek01_rep23.mp4,Baseline 3D-CNN,1,Form Salah,0.9516089558601379,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.19145534683869156,0.1520243935936696,113,64
Squat,primer_squat_frontal_subjek01_rep23.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9960368275642395,learned,0.1466644489070798,0,0.0,"5,6,4,7,8",0.15654654980367574,0.1399263275768045,113,64
Squat,primer_squat_frontal_subjek01_rep23.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.6916345953941345,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.18099174181336722,0.12974581045474493,113,64
Squat,primer_squat_frontal_subjek01_rep23.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9993495345115662,fused,0.1982713768742814,2,0.5,"27,28,25,26,29",-0.03915665478579147,0.13005097984965364,113,64
Squat,primer_squat_frontal_subjek01_rep23.mp4,Full Model (Final),1,Form Salah,0.8017216324806213,fused,0.1555264573664319,2,0.5,"29,26,25,28,27",-0.004862969874656783,0.13951847947207624,113,64
Squat,primer_squat_frontal_subjek01_rep24.mp4,Baseline 3D-CNN,1,Form Salah,0.9311315417289734,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.1928506816827243,0.15619729969070711,140,64
Squat,primer_squat_frontal_subjek01_rep24.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9959709048271179,learned,0.14134307003602284,0,0.0,"5,4,6,7,8",0.16621874426282865,0.14298672909648605,140,64
Squat,primer_squat_frontal_subjek01_rep24.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.6747256517410278,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.18520450020032386,0.13306471344908985,140,64
Squat,primer_squat_frontal_subjek01_rep24.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9988151788711548,fused,0.19933307859891644,2,0.5,"27,28,25,26,29",-0.025366435132917118,0.12828381942990622,140,64
Squat,primer_squat_frontal_subjek01_rep24.mp4,Full Model (Final),1,Form Salah,0.6497790813446045,fused,0.15385809496337496,2,0.5,"26,29,25,28,27",-0.004511978348415333,0.13746338465991356,140,64
Squat,primer_squat_frontal_subjek01_rep25.mp4,Baseline 3D-CNN,1,Form Salah,0.9294200539588928,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.1943842175514104,0.15508144404990892,140,64
Squat,primer_squat_frontal_subjek01_rep25.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9958536624908447,learned,0.14157361247407557,0,0.0,"5,4,6,7,8",0.16439531706891278,0.14115253403883388,140,64
Squat,primer_squat_frontal_subjek01_rep25.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.6862786412239075,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.186057506007147,0.13073244382650973,140,64
Squat,primer_squat_frontal_subjek01_rep25.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9988412261009216,fused,0.1991856048583811,2,0.5,"27,28,25,26,29",-0.02456996827946544,0.12796152689404355,140,64
Squat,primer_squat_frontal_subjek01_rep25.mp4,Full Model (Final),1,Form Salah,0.6469024419784546,fused,0.153568375693377,2,0.5,"26,29,25,28,27",-0.00365535512381196,0.13787479474104475,140,64
Squat,primer_squat_frontal_subjek01_rep3.mp4,Baseline 3D-CNN,1,Form Salah,0.9212538003921509,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.19440993665242803,0.15528045616309855,98,64
Squat,primer_squat_frontal_subjek01_rep3.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9956830739974976,learned,0.15141085014002287,1,0.25,"5,6,4,7,23",0.17599033226589092,0.14290846895334433,98,64
Squat,primer_squat_frontal_subjek01_rep3.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.5643952488899231,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.15020493376515107,0.1421887894533648,98,64
Squat,primer_squat_frontal_subjek01_rep3.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9989474415779114,fused,0.20000567003273415,2,0.5,"27,28,25,26,29",-0.06112346693267355,0.1400703100692422,98,64
Squat,primer_squat_frontal_subjek01_rep3.mp4,Full Model (Final),0,Form Benar,0.6271509528160095,fused,0.15533948913190007,2,0.5,"26,25,29,28,27",-0.011058323774441072,0.14609396105310432,98,64
Squat,primer_squat_frontal_subjek01_rep4.mp4,Baseline 3D-CNN,1,Form Salah,0.9279245734214783,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.19730003046107053,0.15638523205899102,94,64
Squat,primer_squat_frontal_subjek01_rep4.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.996036946773529,learned,0.15577250395262848,1,0.25,"5,6,4,23,7",0.22698584046302173,0.1404677001845123,94,64
Squat,primer_squat_frontal_subjek01_rep4.mp4,Ablasi B - Tanpa Learned Spatial,1,Form Salah,0.551919162273407,prior,0.09900956963440602,0,0.0,"20,13,22,21,16",-0.14456678714304072,0.14459625075991067,94,64
Squat,primer_squat_frontal_subjek01_rep4.mp4,Ablasi C - Tanpa Temporal,1,Form Salah,0.9991400241851807,fused,0.19958266800492366,2,0.5,"27,28,25,26,29",-0.06959967248608442,0.1414698634824942,94,64
Squat,primer_squat_frontal_subjek01_rep4.mp4,Full Model (Final),0,Form Benar,0.5555216670036316,fused,0.156024770409843,2,0.5,"26,29,25,28,27",-0.004038412514614314,0.14087253113438566,94,64
Squat,primer_squat_frontal_subjek01_rep5.mp4,Baseline 3D-CNN,1,Form Salah,0.9303575754165649,neutral,0.12121212113865931,0,0.0,"32,15,1,2,3",-0.1929675562423448,0.15692997351356,127,64
Squat,primer_squat_frontal_subjek01_rep5.mp4,Ablasi A - Tanpa Prior,0,Form Benar,0.9959392547607422,learned,0.14907635774849312,1,0.25,"5,6,4,7,23",0.17258333491230674,0.13691353377247026,127,64
