frame_index,landmark_index,landmark_name,x_raw,y_raw,z_raw,visibility,is_low_confidence,is_missing,interpolation_status,x_final,y_final,z_final
4,10,mouth_right,0.499407,0.255958,-0.636536,0.999944,False,False,original,0.499407,0.255958,-0.636536
4,11,left_shoulder,0.663401,0.336622,-0.099086,0.99994,False,False,original,0.663401,0.336622,-0.099086
4,12,right_shoulder,0.370517,0.331835,-0.105162,0.999884,False,False,original,0.370517,0.331835,-0.105162
4,13,left_elbow,0.736982,0.453066,-0.355571,0.941291,False,False,original,0.736982,0.453066,-0.355571
4,14,right_elbow,0.291707,0.445477,-0.432117,0.891209,False,False,original,0.291707,0.445477,-0.432117
4,15,left_wrist,0.84673,0.36553,-1.006814,0.972551,False,False,original,0.84673,0.36553,-1.006814
4,16,right_wrist,0.18284,0.365586,-1.112749,0.979828,False,False,original,0.18284,0.365586,-1.112749
4,17,left_pinky,0.857032,0.347617,-1.131645,0.964018,False,False,original,0.857032,0.347617,-1.131645
4,18,right_pinky,0.161983,0.345455,-1.257835,0.980336,False,False,original,0.161983,0.345455,-1.257835
4,19,left_index,0.84877,0.336146,-1.177419,0.963559,False,False,original,0.84877,0.336146,-1.177419
4,20,right_index,0.170275,0.335273,-1.283307,0.979887,False,False,original,0.170275,0.335273,-1.283307
4,21,left_thumb,0.841141,0.342423,-1.04065,0.951918,False,False,original,0.841141,0.342423,-1.04065
4,22,right_thumb,0.182294,0.341267,-1.146803,0.973621,False,False,original,0.182294,0.341267,-1.146803
4,23,left_hip,0.58852,0.574433,0.002227,0.99998,False,False,original,0.58852,0.574433,0.002227
4,24,right_hip,0.416132,0.57177,-0.002541,0.999978,False,False,original,0.416132,0.57177,-0.002541
4,25,left_knee,0.654349,0.74545,-0.000534,0.985294,False,False,original,0.654349,0.74545,-0.000534
4,26,right_knee,0.359366,0.745119,-0.046813,0.980758,False,False,original,0.359366,0.745119,-0.046813
4,27,left_ankle,0.696715,0.911037,0.437004,0.979899,False,False,original,0.696715,0.911037,0.437004
4,28,right_ankle,0.316817,0.905697,0.395112,0.987077,False,False,original,0.316817,0.905697,0.395112
4,29,left_heel,0.675607,0.93631,0.458416,0.865104,False,False,original,0.675607,0.93631,0.458416
4,30,right_heel,0.339463,0.92994,0.422442,0.901944,False,False,original,0.339463,0.92994,0.422442
4,31,left_foot_index,0.770916,0.992117,0.102502,0.967709,False,False,original,0.770916,0.992117,0.102502
4,32,right_foot_index,0.225154,0.986087,0.075616,0.97307,False,False,original,0.225154,0.986087,0.075616
5,0,nose,0.523076,0.238845,-0.742113,0.999974,False,False,original,0.523076,0.238845,-0.742113
5,1,left_eye_inner,0.54527,0.220284,-0.682141,0.999926,False,False,original,0.54527,0.220284,-0.682141
5,2,left_eye,0.557994,0.220854,-0.682907,0.999911,False,False,original,0.557994,0.220854,-0.682907
5,3,left_eye_outer,0.571522,0.221647,-0.682795,0.999928,False,False,original,0.571522,0.221647,-0.682795
5,4,right_eye_inner,0.503012,0.218848,-0.683585,0.999958,False,False,original,0.503012,0.218848,-0.683585
5,5,right_eye,0.48943,0.218669,-0.684468,0.999959,False,False,original,0.48943,0.218669,-0.684468
5,6,right_eye_outer,0.47814,0.219229,-0.684974,0.999964,False,False,original,0.47814,0.219229,-0.684974
5,7,left_ear,0.584679,0.229537,-0.317027,0.999949,False,False,original,0.584679,0.229537,-0.317027
5,8,right_ear,0.457393,0.228453,-0.323419,0.99992,False,False,original,0.457393,0.228453,-0.323419
5,9,mouth_left,0.546876,0.259878,-0.598529,0.999947,False,False,original,0.546876,0.259878,-0.598529
5,10,mouth_right,0.499323,0.257646,-0.605801,0.999944,False,False,original,0.499323,0.257646,-0.605801
5,11,left_shoulder,0.663587,0.338968,-0.083876,0.999936,False,False,original,0.663587,0.338968,-0.083876
5,12,right_shoulder,0.370528,0.333222,-0.08372,0.999878,False,False,original,0.370528,0.333222,-0.08372
5,13,left_elbow,0.737113,0.454518,-0.315717,0.941488,False,False,original,0.737113,0.454518,-0.315717
5,14,right_elbow,0.291329,0.447879,-0.396695,0.891475,False,False,original,0.291329,0.447879,-0.396695
5,15,left_wrist,0.84683,0.366982,-0.926764,0.972812,False,False,original,0.84683,0.366982,-0.926764
5,16,right_wrist,0.182778,0.366534,-1.066144,0.979249,False,False,original,0.182778,0.366534,-1.066144
5,17,left_pinky,0.857051,0.350954,-1.043073,0.964141,False,False,original,0.857051,0.350954,-1.043073
5,18,right_pinky,0.161363,0.347032,-1.206801,0.979308,False,False,original,0.161363,0.347032,-1.206801
5,19,left_index,0.848873,0.33855,-1.089521,0.963625,False,False,original,0.848873,0.33855,-1.089521
5,20,right_index,0.168978,0.337582,-1.233496,0.978793,False,False,original,0.168978,0.337582,-1.233496
5,21,left_thumb,0.841908,0.344339,-0.9596,0.951255,False,False,original,0.841908,0.344339,-0.9596
5,22,right_thumb,0.181059,0.343605,-1.100196,0.971937,False,False,original,0.181059,0.343605,-1.100196
5,23,left_hip,0.588472,0.576055,0.001952,0.99998,False,False,original,0.588472,0.576055,0.001952
5,24,right_hip,0.415165,0.573708,-0.002284,0.999978,False,False,original,0.415165,0.573708,-0.002284
5,25,left_knee,0.659097,0.746014,-0.016855,0.986052,False,False,original,0.659097,0.746014,-0.016855
5,26,right_knee,0.355683,0.746885,-0.06418,0.981571,False,False,original,0.355683,0.746885,-0.06418
5,27,left_ankle,0.696742,0.911251,0.401045,0.981431,False,False,original,0.696742,0.911251,0.401045
5,28,right_ankle,0.316973,0.9057,0.380641,0.987773,False,False,original,0.316973,0.9057,0.380641
5,29,left_heel,0.675605,0.937262,0.420566,0.873717,False,False,original,0.675605,0.937262,0.420566
5,30,right_heel,0.340159,0.930074,0.409897,0.906413,False,False,original,0.340159,0.930074,0.409897
5,31,left_foot_index,0.771076,0.992017,0.077656,0.970004,False,False,original,0.771076,0.992017,0.077656
5,32,right_foot_index,0.224688,0.986062,0.078473,0.974359,False,False,original,0.224688,0.986062,0.078473
6,0,nose,0.523036,0.243741,-0.81884,0.999974,False,False,original,0.523036,0.243741,-0.81884
6,1,left_eye_inner,0.545106,0.22532,-0.758115,0.999927,False,False,original,0.545106,0.22532,-0.758115
6,2,left_eye,0.557401,0.225735,-0.758909,0.999913,False,False,original,0.557401,0.225735,-0.758909
6,3,left_eye_outer,0.571381,0.226489,-0.758796,0.999929,False,False,original,0.571381,0.226489,-0.758796
6,4,right_eye_inner,0.503124,0.224262,-0.762146,0.999958,False,False,original,0.503124,0.224262,-0.762146
6,5,right_eye,0.489753,0.22411,-0.763029,0.999959,False,False,original,0.489753,0.22411,-0.763029
6,6,right_eye_outer,0.478507,0.223903,-0.763548,0.999964,False,False,original,0.478507,0.223903,-0.763548
6,7,left_ear,0.584689,0.233979,-0.378087,0.999948,False,False,original,0.584689,0.233979,-0.378087
6,8,right_ear,0.458041,0.232672,-0.395205,0.999918,False,False,original,0.458041,0.232672,-0.395205
6,9,mouth_left,0.546872,0.2639,-0.668821,0.999946,False,False,original,0.546872,0.2639,-0.668821
6,10,mouth_right,0.499419,0.261779,-0.679339,0.999942,False,False,original,0.499419,0.261779,-0.679339
6,11,left_shoulder,0.66359,0.342229,-0.123167,0.999932,False,False,original,0.66359,0.342229,-0.123167
6,12,right_shoulder,0.370571,0.335921,-0.140901,0.999866,False,False,original,0.370571,0.335921,-0.140901
6,13,left_elbow,0.737789,0.455988,-0.360597,0.940319,False,False,original,0.737789,0.455988,-0.360597
6,14,right_elbow,0.288037,0.450529,-0.47201,0.887694,False,False,original,0.288037,0.450529,-0.47201
6,15,left_wrist,0.847417,0.367276,-0.994107,0.972601,False,False,original,0.847417,0.367276,-0.994107
6,16,right_wrist,0.182742,0.367159,-1.148591,0.976955,False,False,original,0.182742,0.367159,-1.148591
6,17,left_pinky,0.857541,0.352308,-1.114268,0.963841,False,False,original,0.857541,0.352308,-1.114268
6,18,right_pinky,0.161155,0.347919,-1.292103,0.976493,False,False,original,0.161155,0.347919,-1.292103
6,19,left_index,0.849579,0.33953,-1.161567,0.963284,False,False,original,0.849579,0.33953,-1.161567
6,20,right_index,0.168891,0.339313,-1.316923,0.975837,False,False,original,0.168891,0.339313,-1.316923
6,21,left_thumb,0.843209,0.345037,-1.02796,0.949954,False,False,original,0.843209,0.345037,-1.02796
6,22,right_thumb,0.180846,0.345267,-1.181998,0.967785,False,False,original,0.180846,0.345267,-1.181998
6,23,left_hip,0.588499,0.579634,0.002975,0.999979,False,False,original,0.588499,0.579634,0.002975
6,24,right_hip,0.415112,0.577522,-0.003287,0.999977,False,False,original,0.415112,0.577522,-0.003287
6,25,left_knee,0.667915,0.747935,-0.022131,0.98686,False,False,original,0.667915,0.747935,-0.022131
6,26,right_knee,0.350693,0.749415,-0.084118,0.982463,False,False,original,0.350693,0.749415,-0.084118
6,27,left_ankle,0.696801,0.911836,0.410312,0.982928,False,False,original,0.696801,0.911836,0.410312
6,28,right_ankle,0.317091,0.905851,0.379633,0.988522,False,False,original,0.317091,0.905851,0.379633
6,29,left_heel,0.675589,0.93751,0.431364,0.882379,False,False,original,0.675589,0.93751,0.431364
6,30,right_heel,0.340802,0.930259,0.410984,0.911346,False,False,original,0.340802,0.930259,0.410984
6,31,left_foot_index,0.771357,0.992222,0.077628,0.972268,False,False,original,0.771357,0.992222,0.077628
6,32,right_foot_index,0.224323,0.986172,0.080434,0.975758,False,False,original,0.224323,0.986172,0.080434
7,0,nose,0.52299,0.247444,-0.8804,0.999974,False,False,original,0.52299,0.247444,-0.8804
7,1,left_eye_inner,0.545111,0.229829,-0.819498,0.999929,False,False,original,0.545111,0.229829,-0.819498
